address,city,lat,lng,pets,agent_name,brokerage_name,state,building_name,city_state,amenity_tags,building_amenity_tags,date_available,max_price,min_price,max_bedrooms,min_bedrooms,max_bathrooms,min_bathrooms,floorplan_count,min_lease_days,max_lease_days,min_square_feet,max_square_feet,zipcode,max_all_bathrooms,min_all_bathrooms
5633 Fenwick St,Halifax,44.637569153393244,-63.57554913539438,"[1, 2, 3]",The Vuze,Templeton Properties,NS,The Vuze,halifax-ns,,,2024-04-01,2900,1995,2,1,1,1,4,365.0,365.0,450,1090,B3H 1R1,"[1, 1]","[1, 0]"
1030 South Park St,Halifax,44.63511279245274,-63.57639817515783,"[1, 2, 3]",Somerset Place Apartments,CAPREIT,NS,Somerset Place Apartments,halifax-ns,"['Assigned Parking', 'Balcony', 'Onsite Laundry', 'Water']","['Onsite Laundry', 'Assigned Parking', 'Balcony', 'Fitness Center', 'Garage Parking', 'Wheelchair Accessible', 'Elevator', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Exercise Room', 'Convenience Store']",2024-02-01,2735,1780,2,0,1,1,3,365.0,365.0,500,950,B3H 2W3,"[1, 0]","[1, 0]"
1338 Hollis St,Halifax,44.642798157290116,-63.57042937779054,[1],Prince Matthew Palace,Templeton Properties,NS,Prince Matthew Palace,halifax-ns,,,2024-05-01,2550,2100,2,1,1,1,2,365.0,365.0,588,825,B3J 3X3,"[1, 0]","[1, 0]"
5770 Spring Garden Rd,Halifax,44.64187197394203,-63.580997564787324,"[1, 2, 3]",Spring Garden,CAPREIT,NS,Spring Garden,halifax-ns,"['Onsite Laundry', 'Balcony', 'Water', 'Assigned Parking', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'Balcony', 'Fitness Center', 'Garage Parking', 'Swimming Pool', 'Storage', 'Wheelchair Accessible', 'Elevator', 'Stove', 'Sauna', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Dishwasher Available', 'Exercise Room', 'Garage Bike Rack']",2024-03-01,2630,1805,2,0,1,1,3,365.0,365.0,491,1005,B3H 4J8,"[1, 0]","[1, 0]"
5885 Cunard St,Halifax,44.65113623804618,-63.59122109484033,"[1, 2, 3]",The Macdonald,CAPREIT,NS,The Macdonald,halifax-ns,"['Assigned Parking', 'Hot Water', 'Heat']","['Assigned Parking', 'Garage Parking', 'Schools Nearby', 'Bicycle Room', 'Garage Bike Rack']",,2495,2095,2,1,1,1,2,365.0,365.0,760,961,B3K 1E3,"[1, 0]","[1, 0]"
1920 Brunswick St,Halifax,44.649862810831735,-63.57847962924637,"[1, 2, 3]",19 Twenty Apartments,CAPREIT,NS,19 Twenty Apartments,halifax-ns,"['Onsite Laundry', 'Balcony', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'Balcony', 'In-Unit Laundry', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Storage', 'Wheelchair Accessible', 'Elevator', 'Microwave', 'Stove', 'Washer In-Suite', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Dishwasher Available', 'Exercise Room', 'Garage Bike Rack']",2024-04-01,2725,2030,2,0,1,1,3,365.0,365.0,507,890,B3J 0C5,"[1, 0]","[1, 0]"
2074 Robie St,Halifax,44.64857573612011,-63.59131352289909,"[1, 2, 3]",The Welsford Apartments,CAPREIT,NS,The Welsford Apartments,halifax-ns,"['Onsite Laundry', 'Balcony', 'Water', 'Assigned Parking', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'Balcony', 'Fitness Center', 'Garage Parking', 'Elevator', 'Stove', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Dishwasher Available', 'Exercise Room', 'Garage Bike Rack']",,1975,1750,1,0,1,1,2,365.0,365.0,507,881,B3K 5L3,"[1, 0]","[1, 0]"
2334 Longard Plaza,Halifax,44.65564634604363,-63.58514541476895,"[1, 2, 3]",Harbour View Apartments,CAPREIT,NS,Harbour View Apartments,halifax-ns,"['Heat', 'Onsite Laundry', 'Balcony', 'Hot Water', 'Assigned Parking']","['Onsite Laundry', 'Assigned Parking', 'Balcony', 'Fitness Center', 'Garage Parking', 'Elevator', 'Stove', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Exercise Room', 'Garage Bike Rack']",2024-02-01,3070,1975,3,1,1,1,3,365.0,365.0,667,1053,B3K 5K6,"[1, 0]","[1, 0]"
2001 Brunswick St,Halifax,44.650316865486445,-63.57851894542913,"[1, 2, 3]",Halifax Apartments – MacKeen Towers,CAPREIT,NS,Halifax Apartments – MacKeen Towers,halifax-ns,"['Assigned Parking', 'Balcony', 'Onsite Laundry', 'Water']","['Onsite Laundry', 'Assigned Parking', 'Balcony', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Swimming Pool', 'Storage', 'Elevator', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Exercise Room', 'Garage Bike Rack']",,1950,1950,1,1,1,1,1,365.0,365.0,741,741,B3J 2G8,"[1, 0]","[1, 0]"
"81 79,81 Radcliffe Drive & 80",Halifax,44.665862317879025,-63.661106796665536,"[1, 2, 3]",Stonecrest Village,CAPREIT,NS,Stonecrest Village,halifax-ns,"['Heat', 'Onsite Laundry', 'Balcony', 'Hot Water', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'Balcony', 'In-Unit Laundry', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Storage', 'Wheelchair Accessible', 'Stove', 'Washer In-Suite', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Dishwasher Available', 'Exercise Room', 'Garage Bike Rack']",,2360,1895,2,1,1,1,2,365.0,365.0,780,1350,B3M 4P2,"[1, 0]","[1, 0]"
