address,bedrooms,bathrooms,parking_spaces,air_conditioning,rent,availability,feature,description,extraction_date
"11 James Street,, Dartmouth, Nova Scotia, B2Y 1R1",2,2,None,No,,,"House, 2 bed, 2 bath, Pet Friendly, Open Parking Spaces, Deck, Outdoor Entertaining, Deck, Fridge & stove, Fully Renovated, Great Location, Large backyard, Loft Space, Parking, Washer/ Dryer"," ~ Gorgeous home in downtown Dartmouth and Hawthorne school district that’s currently being renovated throughout! The Main floor has a bright, beautiful Living room space, a separate Dining area, Kitchen with Island, Fridge and Gas Stove, laundry and 1/2 bath.,A gorgeous staircase takes you upstairs to 2 Bedrooms and Main Bath, then there is a large loft space on the third level that can be used as another bedroom or home office, tenants choice! Both the main floor and upstairs bathroom have in floor heat, making those spaces extra cozy.,The basement is unfinished but offers lots of room for storage. You’ll love the big backyard, that’s treed & private and the small back deck.  This is your chance to live in the ever popular downtown district, walk to everything including great schools!,– (NS Power, Heritage Gas, Heat & Hot Water) Heat Pump on main floor",2024-03-15
"2/89 Fairbanks Street,, Dartmouth, Nova Scotia, B3A 1C5",None,1,None,No,,,"Flat, 1 bath, Bright Open Concept, Fridge & stove, Great Location, Nice Flooring, Renovated"," ~ Beautifully updated main floor , in a great downtown Dartmouth location! Bright with large windows and lots of charm & modern finishes throughout.,This flat features a spacious Bathroom and fridge & stove for appliances, sorry no laundry. Here, you can walk to many downtown amenities, parks and a short car or bus ride to NSCC from this location!,Tenant pays heat / hot water / power (all electric)",2024-03-15
"Main/17A MacKay Street,, Dartmouth, Nova Scotia, B2Y 1R3",2,1,None,No,,,"Flat, 2 bed, 1 bath, Pet Friendly, Open Parking Spaces, Outdoor Entertaining, Fridge & stove, Great Location, In Unit Laundry, Laminate Flooring, Parking, Shared Backyard"," ~ This lovely, is cozy, charming and a great place to call home. Features a new galley kitchen with white cabinets, refrigerator and stove, open concept dining area and living room with large windows. Just freshly painted throughout for new tenants!,An unfinished basement offers extra storage and laundry. Outside there’s one parking space in a shared driveway and a lovely shared backyard for tenants to enjoy! This sweet property is just off Hawthorn Street, you can walk to everything – parks, schools, restaurants, cafe’s, shopping and so much more.,
,
,
,
",2024-03-15
"21 Shrewsbury Road,, Dartmouth, Nova Scotia, B2V 1R6",3,1.5,None,No,,,"Townhouse, 3 bed, 1.5 bath, Pet Friendly, 2 Open Parking Spaces, Dishwasher, Deck, Outdoor Entertaining, Fully Fenced, Deck, Dishwasher, Fenced Backyard, Fridge & stove, Laundry, Modern Kitchen, Parking, Rec Room, Storage, Washer/ Dryer"," ~ Immaculate , in Dartmouth is ready for new tenants! Main floor features a delightful, well functioning kitchen with white cabinets and stainless steel appliances. Spacious living room with gorgeous flooring, patio door to a large deck and lovely backyard space!,Upstairs you will find 3 nice sized bedrooms with carpet and a Full Main Bath. The basement level features a nice Rec Room, Laundry, storage and utility room.,This home is situated off the Caldwell Road area, near great Elementary & Junior High schools and close to Cole Harbour Road amenities.",2024-03-15
"2/148 Prince Albert Road,, Dartmouth, Nova Scotia, B2Y 1M7",1,1,None,No,,,"Unit, 1 bed, 1 bath, Open Parking Spaces, Deck, Amazing Location, Deck, Fridge & stove, Hardwood floors, Lake Views, Parking",,2024-03-15
"1724 Crowell Road,, East Lawrencetown, Nova Scotia, B2Z 1N7",3,2,1,No,,,"House, 3 bed, 2 bath, 1 Parking Spaces, Ensuite, Pet Friendly, Garage, 2 Open Parking Spaces, Remote Garage, Dishwasher, Balcony, Deck, Courtyard, Outdoor Entertaining, Shed, Bunkhouse, Dishwasher, Dock, Fridge & stove, Garage, Gorgeous Flooring, includes water, Large Deck, Master with Ensuite & Balcony, Parking, Rec Room, Shed, Washer/ Dryer, Waterviews, Woodstove","
,
,
,
,
,
",2024-03-15
"8/10 Mitchell St,, Dartmouth, Nova Scotia, B3A 3C9",2,1,None,No,,,"Apartment, 2 bed, 1 bath, Pet Friendly, Fridge, On Site Laundry, Small Pet Friendly, Stove",,2024-03-15
"Main/46 Rufus Avenue,, Halifax, Nova Scotia, B3N 2L7",2,1,None,No,,,"Unit, 2 bed, 1 bath, Pet Friendly, Open Parking Spaces, Dishwasher, Deck, Outdoor Entertaining","
,
,
,The Bedrooms are spacious and the Bathroom has been nicely updated. The basement space offers laundry and additional storage. You’ll love the unique features of this character property and bonus, parking is included! You’ll love the convenience of this Halifax location, near everything Fairview has to offer and quick commute to downtown and highways.,, water included – tenant pays oil heat, electric hot water and power.",2024-03-15
"Upper/46 Rufus Avenue,, Halifax, Nova Scotia, B3N 2L7",2,1,None,No,,,"Unit, 2 bed, 1 bath, Pet Friendly, Deck, Outdoor Entertaining, Convenient Location, Fridge & stove, Large Deck, Pet Friendly, Wood floors","
,
,
,The Bedrooms are spacious and the Bathroom has been nicely updated. Sorry only street parking here! You’ll love the convenience of this Halifax location, near everything Fairview has to offer and quick commute to downtown and highways.,, water included – tenant pays oil heat, electric hot water and power.",2024-03-15
"203/19 Best Street,, Dartmouth, Nova Scotia, B3A 2W9",1,1,None,No,,,"Flat, 1 bed, 1 bath, Pet Friendly, Open Parking Spaces, 1 Parking Space, Bright & Spacious, Coin Operated Laundry, Fridge & stove, Great Location, Laminate Flooring",,2024-03-15
"2117 Maitland Street,, Halifax, Nova Scotia, B3K 2Z8",2,1.5,None,No,,,"Townhouse, 2 bed, 1.5 bath, Pet Friendly, Open Parking Spaces, Deck, 2 Levels, 5 Appliances, Deck, Great Finishes, Great Location, Large Kitchen, Open Concept, Parking"," ~ stunning 2 Bedroom, 1.5 Bath Condo Townhouse in the heart of Halifax! Two levels of wonderful spaces to call home. Delight in the large, open concept Main Floor with spacious Living Area, Dining Room, great Kitchen with a lovely deck to sit and relax and convenient 1/2 Bath.,On the Lower Level you will find 2 very nice sized Bedrooms, updated Full Bath and Laundry Closet. This home offers lots of storage options, 5 appliances and 1 outdoor parking spot.,Walk to everything Spring Garden Road and Downtown has to offer ~ The Halifax Commons & Public Gardens are in your backyard! This is a rare find and won’t last long, inquire today!, (Water Consumption included) Tenant pays Heat/Power/Hot Water",2024-03-15
"4 Owen Drive,, Dartmouth, Nova Scotia, B2W 3Y8",4,2,None,Yes,,,"Duplex Semi-detached, 4 bed, 2 bath, Air Conditioning, Pet Friendly, 2 Open Parking Spaces, Dishwasher, Deck, Outdoor Entertaining, Shed, Ducted Heating, Ducted Cooling, Fully Fenced, Deck, Dishwasher, Fenced Backyard, Fridge, Many Updates, Parking, Rec Room, Shed, Stove, Washer/ Dryer"," This well maintained Semi-Detached Home features 4 Bedrooms and 2 Full Baths, nestled on a lovely lot. All 3 Levels are finished with updates throughout; Living Room & Dining Room have an open concept layout. Good size Kitchen has plenty of cabinets, fridge, stove and dishwasher and doors to back deck.,Upstairs features all four Bedrooms while the basement level offers a large Rec Room and second Full Bath with additional basement area/storage. Outside step into a beautiful fenced backyard space with lots of shrubs and shed. Private driveway offers enough space for 2 vehicles.,   *Heat pump in place /oil backup",2024-03-15
"623/1326 Lower Water Street,, Halifax, Nova Scotia, B3J 3R3",None,1,None,No,,,"Unit, 1 bath, Pool, Alarm System, Dishwasher, Gym, Courtyard, Outdoor Entertaining",,2024-03-15
"2/337 Portland Street,, Dartmouth, Nova Scotia, B2Y 1K7",1,1,None,No,,,"Apartment, 1 bed, 1 bath, Furnished, Dishwasher, Deck, Back Deck, Dishwasher, Fridge & stove, Great Location, Microwave, Nice Layout, Washer/ Dryer"," ~ This fully furnished , Apartment is near the downtown core of Portland Street, Dartmouth. It’s well maintained with lots of natural light and nice furniture. Includes fridge, stove, dishwasher, microwave, washer and dryer.,Tenant has their own back deck for a little outdoor space, situated in a charming building with a few units. Nice layout with character features!,This is an ALL INCLUSIVE rental, just move in! Limited parking, street park nearby and on a direct Metro Transit bus route. This is a great location, walk to downtown or short drive to all amenities!",2024-03-15
"35 Joffre Street,, Dartmouth, Nova Scotia, B2Y 3C7",4,3.5,1,Yes,,,"House, 4 bed, 3.5 bath, 1 Parking Spaces, Air Conditioning, Ensuite, Pet Friendly, Garage, 2 Open Parking Spaces, Dishwasher, Vacuum System, Balcony, Deck, Outdoor Entertaining, Ducted Heating, Ducted Cooling, 2 Decks, 5 Appliances, Built in Microwave, Central vacuum, Garage, Great Locaton, Great Views, Master with Ensuite, Pantry, Parking, Rec Room, Storage"," – Welcome to 35 Joffre Street, a beautifully appointed , in the heart of Dartmouth!,
,
,Heading upstairs you will find 3 Bedrooms with full Main Bath and a lovely Master Bedroom with a great walk in closet and spacious Master Ensuite.,Down stairs on the basement level there’s a Large Rec Room with a wall of  built ins, the 4th Bedroom, Storage and a walk out to a lower deck and back yard which is fully fenced.,Joffre Street is centrally located, very near downtown Dartmouth and also mins away from Penhorn area of businesses and services, the Circumferential Highway, Lake Banook and Parks.",2024-03-15
"54 Lethbridge Avenue,, Dartmouth, Nova Scotia, B2X 2W3",3,2.5,None,No,,,"House, 3 bed, 2.5 bath, 2 Open Parking Spaces, Furnished, Dishwasher, Beautiful Decor, Cleaner, Dishwasher, Fenced Backyard, Fridge & stove, Fully Furnished, Lawn Maintenance, Master Ensuite, Parking, Washer/ Dryer"," Live here from May 1st to August 31st carefree… 4 months with everything included: Fully furnished (furnishings maybe slightly different during rental period) with a weekly cleaner, cable / internet and lawn maintenance!,
,
,
,
",2024-03-15
"210/75 Collins Grove,, Dartmouth, Nova Scotia, B2W 6B3",2,1,None,No,,,"House, 2 bed, 1 bath, Dishwasher, Balcony, 2 Levels, Balcony, Great Location, Laminate Flooring, On Site Laundry, Parking Space, Walk in closet",,2024-03-15
"214 Darlington Drive,, Middle Sackville, Nova Scotia, B4E-3A7",3,2.5,None,No,,,"Townhouse, 3 bed, 2.5 bath, 2 Open Parking Spaces, Dishwasher, Deck, Shed, Backyard, Dishwasher, Fridge, Master with Ensuite, Parking, Rec Room, Shed, Stove, Upstairs Laundry, Walk in closet, Washer/ Dryer, Wood floors"," ~ This gorgeous Townhouse is immaculate inside and out, situated on a quiet Cul de Sac in Middle Sackville! Walk in the Main Floor to find gleaming wood floors and through to the the Living Room, nice tiles in the Kitchen with stainless steel appliances, spacious Dining rea with patio doors to a lovely deck and a half bath on this level as well!,Upstairs find 3 well appointed Bedrooms, Master includes ensuite & walk-in closet, the Main Bath and Laundry closet finish this level.,The Basement is finished featuring a large Rec Room, storage and walk out to the well manicured back yard. Great finishes have been chosen throughout, everything you need to call this beautiful property Home!, – electric heat and hot water and municipal water",2024-03-15
"3/89 Fairbanks Street,, Dartmouth, Nova Scotia, B3A 1C5",1,1,None,No,,,"Flat, 1 bed, 1 bath, Open Parking Spaces, Dishwasher, Deck, Bright Open Concept, Deck, Dishwasher, Eat In Island, Fridge & stove, Great Location, Nice Flooring, Parking, Renovated, Washer/ Dryer"," ~ Beautifully renovated one Bedroom, one Bathroom, Ground Level Flat in a great downtown Dartmouth location! Modern and bright with an open concept layout and very attractive finishes including quality laminate flooring and light fixtures. Sit down island overlooks living room, good size Bedroom, attractive Bathroom, stainless steel appliances and a stackable washer & dryer.,This flat features a spacious deck ~ a nice place to relax or entertain in the summer. Comes with parking for 1 vehicle, small pet on approval. You can walk to many downtown amenities, parks and a short car or bus ride to NSCC from this location!,Tenant pays heat / hot water / power (all electric)",2024-03-15
"103/19 Best Street,, Dartmouth, Nova Scotia, B3A 2W9",1,1,None,No,,,"Flat, 1 bed, 1 bath, Pet Friendly, Open Parking Spaces, 1 Parking Space, Bright & Spacious, Coin Operated Laundry, Fridge & stove, Great Location, Laminate Flooring",,2024-03-15
"82 Fenwick Street,, Dartmouth, Nova Scotia, B2Y 2J6",2,1,None,No,,,"Flat, 2 bed, 1 bath, Open Parking Spaces, Fridge & stove, Laminate Flooring, Lots of Closet Space, Parking, Renovated, Stand Up Shower, Washer/ Dryer",,2024-03-15
"146 High Street,, Bedford, Nova Scotia, B4A 1N3",3,2,None,No,,,"House, 3 bed, 2 bath, 2 Open Parking Spaces, Dishwasher, Outdoor Entertaining, Basement Storage, Gas Range, Great Neighbourhood, Huge Yard, Large Kitchen, Master Ensuite, Office Space, Rec Room, Stainless Steel Appliances, Updated throughout",,2024-03-15
"6/10 Mitchell St,, Dartmouth, Nova Scotia, B3A 3C9",2,1,None,No,,,"Apartment, 2 bed, 1 bath, Pet Friendly, Fridge, On Site Laundry, Small Pet Friendly, Stove",,2024-03-15
"34 Twilight Lane,, Dartmouth, Nova Scotia, B2X 2R9",3,3,1,No,,,"House, 3 bed, 3 bath, 1 Parking Spaces, Pet Friendly, Garage, 2 Open Parking Spaces, Deck, Outdoor Entertaining, 100ft Waterfrontage, 5 Appliances, Garage, Huge Backyard, Large Bungalow, Large Deck, Laundry, Master with Ensuite, Parking, Rec Room, Stunning Views","This rare , find is , This custom built home offers 100 ft., of waterfrontage on Charles Lake in Dartmouth. The views from the Main Floor will take your breath away ~  it’s bright and spacious with a large living room overlooking the beautiful lake. Large kitchen with plenty of cabinets and stainless steel appliances, a lovely Dining Room, 3 very spacious Bedrooms including a Master with a 1/2 Bath ensuite, along with the property main/full bath.,Head downstairs to your finished basement, which features a very large Rec Room great for entertaining and relaxing with walk-out to the gorgeous backyard. Also on this level you’ll find the laundry room and 3pc bathroom. Outside, the curb appeal is wonderful! This home, with it’s attached garage & spacious driveway and expansive back deck is nestled in a very attractive neighbourhood off Waverley Road.",2024-03-15
"85 Ashdale Crescent,, Timberlea, Nova Scotia, B3T 1L2",3,2,None,No,,,"House, 3 bed, 2 bath, Pet Friendly, Dishwasher, Shed, Backyard, Dishwasher, Family room, Fridge & stove, Garage, Laminate Flooring, Parking, Storage, Washer/ Dryer",,2024-03-15
"B/19 Erskine Street,, Dartmouth, Nova Scotia, B2Y 1P6",1,1,None,No,,,"Unit, 1 bed, 1 bath, Pet Friendly, Open Parking Spaces, Fridge & stove, Great Location, Natural gas, Parking, Washer/ Dryer, Water Included",,2024-03-15
"84 Shore Road,, Dartmouth, Nova Scotia, B3A 1A4",2,2.5,1,No,,,"Townhouse, 2 bed, 2.5 bath, 1 Parking Spaces, Garage, Open Parking Spaces, Furnished, Dishwasher, Floor Boards, Balcony, Deck, Courtyard, Outdoor Entertaining, 2 Decks, 5 Appliances, Back Patio, Excellent Location, Fireplace, Fully Furnished, Garage, Master Ensuite, Panoramic Views, Parking",,2024-03-15
"2/138 Albro Lake Road,, Dartmouth, Nova Scotia, B3A 3Z1",1,1,None,No,,,"Flat, 1 bed, 1 bath, Open Parking Spaces, Fridge & stove, Hardwood floors, Parking, Upper Level"," Cozy 1 Bedroom, 1 Bath upper Flat near downtown Dartmouth! Lovely hardwood floors throughout Living Room and Bedroom and attractive tile in eat-in Kitchen. This is a bright, affordable unit with a spacious living room and good size bedroom and bathroom and comes with Fridge & Stove, sorry no laundry.,Albro Lake Road is a direct bus route, walkable to many amenities, very close to downtown Dartmouth and situated between the Bridges for access to Halifax. Parking is also available!, (tenant pays hot water and power),
,
",2024-03-15
"2/3535-3545 Acadia Street,, Halifax, Nova Scotia, B3K 3P3",1,1,None,No,,,"Unit, 1 bed, 1 bath, Pet Friendly, Open Parking Spaces, Bright & Spacious, Coin Operated Laundry, Fresh Paint, Fully Renovated, Great Location, Hardwood floors, New Windows"," in this Multi-unit property is situated in a great Halifax location with 4 well maintained units!,
,
,
,
,(Heat, Water & Hot Water Included)",2024-03-15
"10 Sarnia Avenue,, Dartmouth, Nova Scotia, B2Y 1Y5",5,2,None,No,,,"House, 5 bed, 2 bath, Pet Friendly, 2 Open Parking Spaces, Dishwasher, Shed, Bungalow, Dishwasher, Fridge & stove, Hardwood floors, Large backyard, Nice Neighbourhood, Open Concept Layout, Parking, Rec Room, Renovated, Shed, Washer/ Dryer"," ~ This beautiful bungalow has been tastefully updated throughout and is move-in ready for new tenants! You will find a very large Living Room with tons of natural light, 5 good sized Bedrooms (3 up 2 down), 2 modern Bathrooms, a large open concept kitchen with gorgeous wood cabinets and stainless steel appliances.,Downstairs enjoy a cozy Rec Room space, spacious laundry room with newer Washer & Dryer and storage space, washroom and 2 of the 5 Bedrooms. Outside discover a huge, private backyard, a shed with electricity to use as a workshop/storage space. The driveway offers parking for two cars and the front yard has great curb appeal!,Located in a lovely residential area, close to Penhorn Mall amenities and only a quick drive to downtown Dartmouth and circumferential highway to commute throughout Metro!,
,
,Oil heat and one heat pump",2024-03-15
"6 Ruben Court,, Dartmouth, Nova Scotia, B2X 1M1",3,1.5,None,No,,,"Townhouse, 3 bed, 1.5 bath, 2 Open Parking Spaces, 3 Finished Levels, Backyard, Fridge & stove, Parking, Renovated, Storage",,2024-03-15
"A/1244 Fall River Road,, Fall River, Nova Scotia, B2T 1E6",3,1,None,No,,,"Townhouse, 3 bed, 1 bath, 2 Open Parking Spaces, Deck, Outdoor Entertaining, Closet Organizers, Deck, Dishwasher, Fridge & stove, Hardwood floors, Parking, Shared Backyard, Washer/ Dryer, Wood Cabinetry"," Gorgeous , in the heart of Fall River. This 2 Level home has been lovingly cared for and features cathedral ceilings and modern finishes. You’ll love the unique layout and beautiful flooring throughout – Spacious kitchen with Fridge, Stove and Dishwasher and wood cabinets. Good size Main Bath and Bedrooms with closet organizers.,Outside enjoy your own deck and shared backyard with attached townhouse but lots of space to move around. Great Fall River location, just minutes to all amenities!, – includes municipal water. ",2024-03-15
"B/1244 Fall River Road,, Fall River, Nova Scotia, B2T 1E6",2,1,None,No,,,"Unit, 2 bed, 1 bath, 2 Open Parking Spaces, Deck, Outdoor Entertaining, Fridge & stove, Great Location, Parking, Patio Doors, Shared Backyard, Washer/ Dryer"," Gorgeous , in the heart of Fall River. This home has been lovingly cared for and updated throughout with modern finishes. You’ll love the neutral paint colour and the beautiful flooring throughout – Spacious kitchen with Fridge, Stove and peninsula island.  Patio Doors to shared backyard off Living Room and Bedrooms are bright and spacious. Basement area for storage.,Outside enjoy your own deck and shared backyard with attached townhouse but lots of space to move around. Great Fall River location, just minutes to all amenities!, – ",2024-03-15
"3230 Mic Mac Street,, Halifax, Nova Scotia, B3L 3W4",3,2,None,No,,,"House, 3 bed, 2 bath, Pet Friendly, 2 Open Parking Spaces, Dishwasher, Deck, Shed, Backyard, Deck, Dishwasher, Fridge & stove, Parking, Renovated Kitchen, Updated Bathrooms, Washer/ Dryer",,2024-03-15
"114/5662 Roberts Street,, Halifax, Nova Scotia, B3K 3W6",2,2,None,Yes,,,"Unit, 2 bed, 2 bath, Air Conditioning, Alarm System, New Construction, Secure Parking, Dishwasher, Balcony, Courtyard, Outdoor Entertaining, 1 Parking Spot, Air conditioning, Common Room, Deck, Dishwasher, Fridge & stove, Gym, Modern Finishes, Rooftop Patio, Secure Building, Washer/ Dryer",,2024-03-15
"302/131 Farnham Gate,, Halifax, Nova Scotia, B3M 4A4",2,1,None,No,,,"Unit, 2 bed, 1 bath, Open Parking Spaces, Dishwasher, Balcony, Balcony, Dishwasher, Fridge & stove, Large Windows, Open Concept, Parking, Storage, Washer/ Dryer",,2024-03-15
"64 Havelock Crescent,, Dartmouth, Nova Scotia, B2W 4T8",3,2,None,No,,,"House, 3 bed, 2 bath, Pet Friendly, 2 Open Parking Spaces, Dishwasher, Deck, Deck, Dishwasher, Fridge & stove, Great Location, Main Floor Bedrooms, Modern Finishes, Parking, Rec Room, Renovated, Washer/ Dryer, Yard",,2024-03-15
"409/3700 John Parr Drive,, Halifax, Nova Scotia, B3K 5V4",1,1,None,No,,,"Unit, 1 bed, 1 bath, Alarm System, Pet Friendly, Open Parking Spaces, Intercom, Balcony, Open Fire Place, Balcony with View, Dishwasher, Dog Park, Fireplace, Fridge & stove, Open Concept, Parking, Storage, Washer/ Dryer",,2024-03-15
"283 Waverley Road,, Dartmouth, Nova Scotia, B2X 2E1",4,2,1,No,,,"House, 4 bed, 2 bath, 1 Parking Spaces, Pet Friendly, Garage, 2 Open Parking Spaces, Dishwasher, Deck, Outdoor Entertaining, Shed, Backyard, Central Vac, Deck, Den, Dishwasher, Fridge & stove, Great Location, Hardwood, Shed, Washer/ Dryer",,2024-03-15
"A/19 Erskine Street,, Dartmouth, Nova Scotia, B2Y 1P6",1,1,None,No,,,"Unit, 1 bed, 1 bath, Open Parking Spaces, Fridge & stove, Great Location, Natural gas, Parking, Washer/ Dryer, Water Included",,2024-03-15
"178 Churchill Downs Cir,, Lower Sackville, Nova Scotia, B4E 2J8",4,1.5,None,No,,,"House, 4 bed, 1.5 bath, Pet Friendly, 2 Open Parking Spaces, Deck, Shed, Backyard, Custom Cabinets, Dishwasher, Fridge & stove, Laminate Flooring, Large Deck, Large Windows, Parking, Rec Room, Shed, Storage, Washer/ Dryer",,2024-03-15
"33.5 Dahlia Street,, Dartmouth, Nova Scotia, B3A 2R8",2,1,None,No,,,"House, 2 bed, 1 bath, Open Parking Spaces, Dishwasher, Courtyard, Dishwasher, Downtown Dartmouth, Fridge & stove, Modern Upgrades, Parking, Shared Backyard, Upper Level, Washer/ Dryer",,2024-03-15
"3/3535-3545 Acadia Street,, Halifax, Nova Scotia, B3K 3P3",2,1,None,No,,,"Unit, 2 bed, 1 bath, Open Parking Spaces, Bright & Spacious, Coin Operated Laundry, Fresh Paint, Fully Renovated, Great Location, Hardwood floors, New Windows"," ~ gorgeous 1 Bedroom, 1 Bath Flat that is bright & spacious with gorgeous flooring throughout. Kitchen features lots of cabinets, fridge & stove, nice renovated Bathroom, new windows, French doors and fresh paint make this space warm and inviting!,
,
",2024-03-15
"84 Pondicherry Crescent,, Dartmouth, Nova Scotia, B2W 5C5",4,1.5,None,No,,,"Townhouse, 4 bed, 1.5 bath, 2 Open Parking Spaces, Deck, Outdoor Entertaining, Shed, Backyard, Beautiful Flooring, Cat Friendly, Deck, Firepit, Fridge & stove, Newly Renovated, Rec Room, Shed, Spacious Main Floor, Storage, Washer/ Dryer",,2024-03-15
"106/116 Larry Uteck Boulevard,, Halifax, Nova Scotia, B3M 4Y1",2,2,None,No,,,"Apartment, 2 bed, 2 bath, Alarm System, Ensuite, 2 Open Parking Spaces, Remote Garage, Secure Parking, Dishwasher, Gym, Balcony, 2 Parking Spots, Amazing View, Balcony, Common Room Rentals, Dishwasher, Fitness Room, Fridge & stove, Great Kitchen, Great Location, Locker/Storage, Master with Ensuite, Walk-in Closets, Washer/ Dryer",,2024-03-15
"3 Oakwood Court,, Dartmouth, Nova Scotia, B2W 5P8",3,1.5,None,No,,,"House, 3 bed, 1.5 bath, Pet Friendly, 2 Open Parking Spaces, Dishwasher, Deck, Outdoor Entertaining, Shed, 2 Decks, Dishwasher, Fenced Backyard, Fridge & stove, Laundry Space, Oak Cabinets, Parking, Rec Room/Family Room, Shed, Storage, Washer/ Dryer",,2024-03-15
"57 Herring Cove Road,, Halifax, Nova Scotia, B3N 1P9",None,None,None,No,,,"Apartment, 1.5 Baths, Completely Renovated, Dishwasher, Fridge & stove, Ground Level, Large Windows, Modern Finishes, Open Concept, Parking, Washer/ Dryer"," This gorgeous ‘brand new’ main floor 1 Bedroom, 1.5 bath suite has been renovated top to bottom!,You will appreciate the large windows that provide lots of natural light, 5 appliances, all modern fixtures, beautiful new kitchen, bathroom with walk in shower.  Open concept kitchen, Living Room & Dining Room make for a wonderful living space in a well maintained building ~ one parking space available.,Minutes from the Rotary, shopping, services and a small drive to downtown Halifax!",2024-03-15
"17 Deyoung Drive,, Eastern Passage, Nova Scotia, B3G 1N2",3,1.5,None,No,,,"Townhouse, 3 bed, 1.5 bath, Pet Friendly, 2 Open Parking Spaces, Deck, Shed, Dishwasher, Fridge & stove, Great Neighbourhood, Landscaped Backyard, Large Deck, Parking, Quartz Countertops, Shed, Spacious Main Floor, Washer/ Dryer",,2024-03-15
"204/33 McFatridge Road,, Halifax, Nova Scotia, B3N 2R2",1,1,None,No,,,"Apartment, 1 bed, 1 bath, Pet Friendly, Open Parking Spaces, Balcony, 1 Parking Space, Balcony, Coin Operated Laundry, Fridge & stove, Laminate Flooring, Quiet Building","~ cozy 2 Bedroom, 1 Bath Apartment in Halifax with a view of the Bedford Basin!  2nd Floor Unit, kitchen with Fridge & Stove, laminate flooring throughout Living Room leads to your patio doors and balcony.,This unit is in a small, quiet building with on site Superintendent. Coin operated laundry  and 1 parking space available. Walking distance to amenities and metro transit., includes water, tenant pays Heat / HW / Lights with NSP",2024-03-15
"486 Spring Avenue,, Dartmouth, Nova Scotia, B2W 1Y7",3,2,None,No,,,"House, 3 bed, 2 bath, 2 Open Parking Spaces, Dishwasher, Deck, Shed, Deck, Dishwasher, Fenced Backyard, Fridge & stove, Parking, Rec Room, Storage, Utility Room, Washer/ Dryer",,2024-03-15
"A/6 Ruben Court,, Dartmouth, Nova Scotia, B2X 1M1",3,1.5,None,No,,,"House, 3 bed, 1.5 bath, Pet Friendly, Open Parking Spaces, 5 Levels. Laminate Flooring, Fridge & stove, Large backyard, Large Windows, Near Everything!, Parking",,2024-03-15
"A/249 Portland Street,, Dartmouth, Nova Scotia, B2Y 1J8",2,1,None,Yes,,,"Flat, 2 bed, 1 bath, Air Conditioning, Open Parking Spaces, Dishwasher, Ducted Heating, Ducted Cooling",,2024-03-15
"B/249 Portland Street,, Dartmouth, Nova Scotia, B2Y 1J8",2,1,None,Yes,,,"Flat, 2 bed, 1 bath, Air Conditioning, Open Parking Spaces, Dishwasher, Ducted Heating, Ducted Cooling",,2024-03-15
"4/89 Fairbanks Street,, Dartmouth, Nova Scotia, B3A 1C5",1,1,None,No,,,"House, 1 bed, 1 bath, Deck, Breakfast Bar, Bright Open Concept, Deck with View, Dishwasher, Fridge & stove, Great Location, Nice Flooring, Parking, Renovated, Washer/ Dryer"," ~ Wonderfully renovated one Bedroom, one Bathroom upper flat in a great downtown Dartmouth location! Modern and bright with an open concept layout and very attractive finishes including quality laminate flooring. Breakfast bar, stainless steel appliances and a stackable washer & dryer in the bathroom.,This flat features a nice deck with stunning views of the Halifax Harbour ~ a nice place to relax or entertain in the summer. Comes with parking for 1 vehicle, but sorry no pets here. You can walk to many downtown amenities, parks and a short car or bus ride to NSCC from this location!",2024-03-15
"81 Renfrew Street,, Dartmouth, Nova Scotia, B2Y 2M4",3,1.5,None,No,,,"House, 3 bed, 1.5 bath, Dishwasher, Deck, Den, Dishwasher, Electric fireplace, Fenced Backyard, Fridge & stove, Great Deck, Laminate Flooring, Laundry, Parking, Renovated, Washer/ Dryer",,2024-03-15
"1/89 Fairbanks Street,, Dartmouth, Nova Scotia, B3A 1C5",1,1,None,No,,,"House, 1 bed, 1 bath, Bright Open Concept, Fridge & stove, Great Location, Nice Flooring, Parking, Renovated"," ~ Wonderfully maintained upper Studio Flat with den and one Bathroom. Conveniently located in a great downtown Dartmouth location! Modern and bright with an open concept layout and very attractive finishes, freshly painted throughout, laminate flooring, fridge & stove and large windows for lots of natural light. Sorry, no laundry here.,We can’t say enough about this lovely Dartmouth location, the property comes with parking for 1 vehicle, but sorry no pets. You can walk to many downtown amenities, parks and a short car or bus ride to NSCC from this location!",2024-03-15
"1208 Sackville Drive,, Middle Sackville, Nova Scotia, B4E 3G1",3,2,1,No,,,"House, 3 bed, 2 bath, 1 Parking Spaces, Pet Friendly, Garage, 2 Open Parking Spaces, Deck, Detached garage, Dishwasher, Family room, Fenced Yard, Firepit, Great Location! Fridge & Stove, Large Deck, Open Concept, Parking, Washer/ Dryer",,2024-03-15
