,Rent,Bedrooms,Bathrooms,Parking,Size,Seller Name,Latitude,Longitude,Address,Parking Cost,Heat,Water,Hydro,Balcony,Yard,Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer,bathroom_p5,bedroom_den,bachelor_studio,major_region,minor_region,Furnished_Yes,Air Conditioning_Yes,Seller_Professional,walkScore,transitScore,bikeScore,Cleaned Seller Name
64,2695,2,2,0,976,killamreit.com,44.64371,-63.56977,"5121 Bishop Street, Halifax, NS, B3J 0E5",2.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,True,97,72,61,Killamreit
65,1695,1,1,1,700,,44.66206,-63.60365,"3210 Agricola Street, Halifax, NS",0.0,0,1,0,1,0,1,0,0,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,95,61,77,Owner
66,1295,2,1,1,750,,44.66969,-63.54986,"Dartmouth, NS B2Y 3C3",0.0,1,1,1,0,1,0,1,0,0,0,0,0,Dartmouth,Dartmouth Downtown,False,False,False,60,49,39,Owner
67,2500,2,2,0,1292,www.horizoncourt.ca,44.68942,-63.5637,"7 Horizon Court, Dartmouth, NS, B3A 4R2",2.0,0,0,0,1,0,0,1,1,1,0,1,0,Dartmouth,Burnside,False,False,True,57,46,51,Horizoncourt
68,1845,2,1,1,950,,44.65953,-63.63608,"88 Evans Ave, Halifax, NS B3M 1C6",0.0,1,1,0,0,0,0,1,0,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,86,56,56,Owner
69,3100,3,1,0,1000,,44.64009,-63.58503,"Carlton Street, Halifax, NS",150.0,1,1,1,0,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,93,66,80,Owner
70,1865,2,1,1,900,,44.65789,-63.65473,"Halifax, NS B3M 3L9",0.0,1,1,0,0,0,0,1,1,0,0,0,0,Mainland Halifax,Clayton Park,False,False,True,72,53,48,Not Given
71,2975,2,2,0,880,www.hazelviewproperties.com,44.66449,-63.59473,"3075 Devonshire Avenue, Halifax, NS, B3K 0H5",1.0,0,0,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,True,91,64,54,Hazelviewproperties
72,1679,2,1,0,894,www.metcap.com,44.68397,-63.58743,"133 Pinecrest Drive, Dartmouth, NS, B3A 2J7",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Dartmouth,Burnside,False,False,True,71,50,45,Metcap
73,2765,2,2,0,1249,www.skylineliving.ca,44.70899,-63.69813,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
74,2745,2,2,0,1249,www.skylineliving.ca,44.70899,-63.69813,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
75,2650,2,2,1,1650,,44.7113,-63.70191,"487 Broad St, Bedford, NS B4B 0Z1",0.0,1,1,0,1,0,1,0,1,1,0,1,0,Bedford,Bedford Basin,False,True,False,7,29,41,Owner
76,2700,3,1,1,800,,44.65046,-63.60229,"Seaforth Street, Halifax, NS",0.0,1,1,0,0,1,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,90,66,76,Owner
77,1950,1,1,0,741,www.capreit.ca,44.64917,-63.57983,"2001 Brunswick Street, Halifax, NS, B3J 3L8",1.0,0,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,97,73,64,Capreit
78,2600,2,2,0,1494,www.horizoncourt.ca,44.68898,-63.56287,"10 Horizon Court, Dartmouth, NS, B3A 0A4",2.0,0,0,0,1,0,0,1,1,1,0,1,0,Dartmouth,Burnside,False,False,True,53,45,56,Horizoncourt
79,1800,0,1,1,600,,44.64308,-63.59094,"6089 Jubilee Road, Halifax, NS",0.0,1,1,1,0,0,1,0,1,1,0,0,1,Halifax Peninsula,SouthEnd,False,True,False,92,66,77,Owner
80,2725,2,2,0,1270,www.bluebasingroup.ca,44.67902,-63.55067,"307 Prince Albert Road, Dartmouth, NS, B2Y 1N3",1.0,0,1,0,0,0,0,0,0,0,0,0,0,Dartmouth,Dartmouth Downtown,False,False,True,71,46,48,Bluebasingroup
81,2175,2,1,0,1016,www.bluebasingroup.ca,44.67902,-63.55067,"307 Prince Albert Road, Dartmouth, NS, B2Y 1N3",1.0,0,1,0,0,0,0,0,0,0,0,0,0,Dartmouth,Dartmouth Downtown,False,False,True,71,46,48,Bluebasingroup
82,1550,0,1,0,400,www.arcmanagement.ca,44.63884,-63.57167,"Halifax, NS B3H 4K2",1.0,1,1,1,0,1,0,1,1,1,0,0,1,Halifax Peninsula,SouthEnd,False,False,True,95,65,54,Arcmanagement
83,1800,1,1,1,855,,44.67611,-63.66146,"155 Wentworth Drive, Halifax, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,True,False,54,46,38,Owner
84,1675,0,1,0,417,www.capreit.ca,44.6559,-63.58508,"2334 Longard Plaza, Halifax, NS, B3K 5K6",1.0,1,1,0,1,0,0,1,0,1,0,0,1,Halifax Peninsula,Downtown,False,False,True,95,71,76,Capreit
85,1450,0,1,0,450,,44.63561,-63.57567,"5681 Rhuland St, Halifax, NS B3H 4J6",1.0,0,1,0,0,0,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,False,False,93,64,65,Owner
86,1799,1,1,0,550,www.northpointhfx.com,44.63595,-63.5771,"5713 Victoria Road, Halifax, NS, B3H 2Y3",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,93,64,67,Northpointhfx
87,1799,1,1,0,600,www.northpointhfx.com,44.63439,-63.57502,"5670 Inglis Street, Halifax, NS, B3H 1K3",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,88,61,67,Northpointhfx
88,1799,1,1,0,550,www.northpointhfx.com,44.63594,-63.58628,"6056 South Street, Halifax, NS, B3H 1T1",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,91,62,61,Northpointhfx
89,2149,1,1,0,500,www.northpointhfx.com,44.63408,-63.57646,"5726 Inglis St, Halifax, NS, B3H 1K4",1.0,1,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,True,True,90,62,68,Northpointhfx
90,2900,3,1,1,1000,,44.65495,-63.60559,"Liverpool Street, Halifax, NS",0.0,0,1,0,1,1,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,False,False,84,65,70,Owner
91,2100,2,2,0,1344,,44.7653,-63.67669,"Pinehill Drive, Lower Sackville, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Sackville,Lower Sackville,False,True,True,57,41,24,Not Given
92,2350,2,1,0,913,,44.64561,-63.57528,"1619 Market Street, Halifax, NS, B3J 1K8",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,True,10,74,74,Not Given
93,2100,2,1,0,884,,44.64561,-63.57528,"1619 Market Street, Halifax, NS, B3J 1K8",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,True,10,74,74,Not Given
94,1850,1,1,0,930,,44.67041,-63.66646,"Halifax, NS B3M 4J4",1.0,1,1,1,0,1,0,1,1,1,0,0,0,Mainland Halifax,Clayton Park,True,True,False,70,51,41,Owner
95,1875,1,1,0,675,,44.64561,-63.57528,"1619 Market Street, Halifax, NS, B3J 1K8",1.0,1,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,True,10,74,74,Not Given
96,2155,1,1,0,600,,44.64267,-63.57595,"Queen Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,False,99,67,62,Owner
97,2250,1,1,0,900,,44.65197,-63.58389,"Gottingen Street, Halifax, NS",1.0,0,1,0,1,0,1,0,0,0,0,0,0,Halifax Peninsula,Downtown,True,False,False,96,70,87,Owner
98,1350,1,1,1,680,,44.66226,-63.63187,"27 Evans Avenue, Halifax, NS",0.0,1,1,0,0,0,0,1,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,73,57,44,Owner
99,2400,3,1,1,1250,,44.63518,-63.6316,"11 Quarry Rd, Halifax, NS B3N 1X1",0.0,1,1,1,0,0,1,0,0,1,0,0,0,Mainland Halifax,Armdale,True,True,False,40,43,51,Owner
100,2050,2,1,0,500,,44.60127,-63.60785,"2 McIntosh St, Halifax, NS, B3R 1G8",2.0,1,1,0,0,1,0,1,1,1,0,0,0,Mainland Halifax,Spryfield,False,False,True,44,38,13,Not Given
101,1699,1,1,0,400,,44.60739,-63.61431,"432 Herring Cove Road, Halifax, NS, B3R 1W4",100.0,0,1,0,0,1,1,0,1,1,0,0,0,Mainland Halifax,Spryfield,False,True,True,69,41,31,Not Given
102,2200,2,1,0,650,,44.60739,-63.61431,"432 Herring Cove Road, Halifax, NS, B3R 1W4",100.0,0,1,0,1,1,1,0,1,1,0,0,0,Mainland Halifax,Spryfield,False,True,True,69,41,31,Not Given
103,2395,2,2,0,995,,44.65579,-63.59882,"2735 Clifton Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,97,66,82,Owner
104,2700,2,2,0,1500,,44.64096,-63.58758,"6000 Bliss Street, Halifax, NS",1.0,1,1,1,0,0,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,True,False,False,87,65,75,Owner
105,2400,2,2,1,1740,,44.71188,-63.70238,"Broad Street, Bedford, NS",0.0,0,1,0,1,0,1,0,1,1,0,1,0,Bedford,Bedford Basin,True,True,False,15,28,33,Owner
106,1899,1,1,0,800,,44.63407,-63.57643,"Inglis St, Halifax, B3H 1K4",1.0,0,1,0,0,0,1,0,1,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,88,63,70,Owner
107,2800,1,1,1,1200,,44.63834,-63.57043,"5222 Kent St, Halifax, NS B3H 1P6",0.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,SouthEnd,True,True,False,94,65,61,Owner
108,1995,1,1,0,1010,,44.72471,-63.74775,"Appaloosa Run, Hammonds Plains, NS",1.0,1,1,0,1,0,1,0,1,1,1,1,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
109,2500,3,1,1,1000,,44.65233,-63.60937,"Liverpool St, Halifax, NS B3L 1Y4, Canada",0.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,WestEnd,False,False,False,84,65,70,Owner
110,2200,2,1,1,800,,44.62336,-63.61431,"39 Towerview Drive, Halifax, NS",0.0,1,1,0,1,0,0,1,1,1,0,0,0,Mainland Halifax,Armdale,False,False,True,56,42,24,Not Given
111,1750,1,1,0,600,,44.65119,-63.58265,"Falkland St, Halifax, B3K 1A3",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,Downtown,False,True,False,97,72,73,Owner
112,2695,2,2,0,1382,www.polycorp.ca,44.67331,-63.60902,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",1.0,1,1,0,1,0,1,0,1,1,0,1,0,Halifax Peninsula,NorthEnd,False,False,True,70,48,38,Polycorp
113,1550,0,1,0,575,,44.63729,-63.57149,"5266 Green Street, Halifax, NS",150.0,1,1,1,0,0,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,True,False,89,64,58,Owner
114,1495,1,1,0,600,,44.64715,-63.59952,"Allan Street, Halifax, NS",65.0,0,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,97,66,77,Owner
115,2095,1,1,0,900,,44.65949,-63.59471,"5511 Bloomfield Street, Halifax, NS",160.0,1,1,0,1,0,0,0,0,0,0,1,0,Halifax Peninsula,NorthEnd,False,True,False,97,67,79,Owner
116,1849,1,1,0,900,,44.64228,-63.59769,"Halifax, NS B3H 2K5",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,96,64,68,Owner
117,1760,1,1,0,600,,44.64228,-63.59769,"Halifax, NS B3H 2K5",1.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,96,64,68,Owner
118,1995,1,1,0,620,www.capreit.ca,44.65188,-63.58021,"2077 Brunswick Street, Halifax, NS, B3K 5T8",1.0,0,1,0,0,0,1,1,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,96,73,68,Capreit
119,2200,1,1,0,800,,44.67508,-63.5656,"Dartmouth, NS B3A 2V1",1.0,1,1,1,1,1,1,0,0,0,0,0,0,Dartmouth,Dartmouth Downtown,True,False,False,68,61,63,Owner
120,2400,2,1,1,950,,44.63566,-63.57774,"Victoria Rd, Halifax, NS",0.0,0,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,92,63,67,Owner
121,2100,2,1,0,1200,,44.60271,-63.61507,"Auburn Ave, Halifax, NS B3R 1K4",,1,1,1,0,1,0,1,1,0,0,0,0,Mainland Halifax,Spryfield,False,False,False,53,39,29,Owner
122,2100,2,1,1,1100,,44.64475,-63.53904,"Dartmouth, NS B2W 1B1",0.0,0,1,0,1,1,1,0,1,1,0,0,0,Dartmouth,Wooside,False,False,False,30,38,31,Owner
123,2395,2,1,1,1000,,44.68931,-63.69216,"Kearney Lake Rd, Halifax, NS, B3M 3H7",0.0,1,1,0,0,0,0,1,1,0,0,0,0,Bedford,Bedford Basin,False,False,False,38,30,32,Owner
124,1895,1,1,0,659,www.capreit.ca,44.64917,-63.57983,"1991 Brunswick Street, Halifax, NS, B3J 3L8",1.0,0,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,95,73,64,Capreit
125,2545,2,1,0,807,www.capreit.ca,44.6559,-63.58508,"2334 Longard Plaza, Halifax, NS, B3K 5K6",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,95,71,76,Capreit
126,1970,1,1,0,660,www.capreit.ca,44.63511,-63.57645,"1030 South Park Street, Halifax, NS, B3J 2K9",1.0,0,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,69,Capreit
127,2540,2,1,0,807,www.capreit.ca,44.6559,-63.58508,"2334 Longard Plaza, Halifax, NS, B3K 5K6",,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,95,71,76,Capreit
128,1750,0,1,0,507,www.capreit.ca,44.64878,-63.59128,"2074 Robie Street, Halifax, NS, B3K 5L3",1.0,0,1,0,1,0,0,1,1,1,0,0,1,Halifax Peninsula,Downtown,False,False,True,96,69,92,Capreit
129,2735,2,1,0,950,www.capreit.ca,44.63511,-63.57645,"1030 South Park Street, Halifax, NS, B3J 2K9",1.0,0,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,69,Capreit
130,1795,1,1,0,650,,44.67373,-63.61475,"Kencrest Avenue, Halifax, NS",150.0,0,1,0,1,0,1,0,0,0,0,0,0,Halifax Peninsula,NorthEnd,False,False,False,65,47,36,Owner
131,2080,1,1,0,720,,44.65081,-63.57838,"Halifax, NS B3J 3J7",1.0,0,0,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,Downtown,False,False,False,97,73,64,Owner
132,2245,1,1,0,740,,44.64272,-63.57688,"Birmingham Street, Halifax, NS",1.0,1,1,0,0,0,1,0,1,1,1,0,0,Halifax Peninsula,Downtown,False,True,False,10,72,74,Owner
133,1799,2,1,0,750,www.sterlinghalifax.com,44.64564,-63.5918,"6071 Shirley Street, Halifax, NS",95.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,97,67,83,Sterlinghalifax
134,1500,1,1,0,599,,44.64009,-63.58503,"Carlton Street, Halifax, NS",,1,1,1,1,0,0,0,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,93,66,80,Owner
135,1600,1,1,0,599,,44.64009,-63.58503,"Carlton Street, Halifax, NS",1.0,1,1,1,1,0,0,0,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,93,66,80,Owner
136,2200,2,2,1,1000,,44.65574,-63.63923,"Adelaide Avenue, Halifax, NS",0.0,0,1,0,1,0,1,0,1,1,0,1,0,Mainland Halifax,Clayton Park,False,True,False,81,53,45,Owner
137,1495,0,1,0,400,,44.64054,-63.57398,"1263 Queen Street, Halifax, NS",135.0,1,1,0,0,0,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,False,True,99,67,59,Not Given
138,3000,3,1,0,500,,44.71842,-63.7079,"Hazelton Hill, Bedford, NS B4B",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Bedford,Hammonds Plains,False,False,False,22,30,40,Owner
139,2125,1,1,0,564,thegeorgeresidence.com,44.64601,-63.59049,"6016 Pepperell Street, Halifax, NS, B3H 2N8",1.0,0,0,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,96,68,84,Thegeorgeresidence
140,1895,1,1,0,995,,44.72362,-63.74914,"Appaloosa Run, Hammonds Plains, NS",75.0,1,1,0,1,0,1,0,1,1,1,0,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
141,2595,2,2,0,1033,west22living.com,44.65015,-63.62388,"7037 Mumford Rd, Halifax, NS, B3L 2J1",1.0,0,0,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,WestEnd,False,False,True,80,63,74,West22living
142,1850,1,1,0,600,,44.63707,-63.58027,"Wellington Street, Halifax, NS",1.0,1,1,0,0,0,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,87,65,71,Owner
143,1829,1,1,0,900,,44.64228,-63.59769,"Halifax, NS B3H 2K5",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,96,64,68,Owner
144,1795,2,1,1,1000,,44.67163,-63.66469,"Langbrae Dr, Halifax, NS B3M 4H3, Canada",0.0,1,1,0,1,0,0,1,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,70,51,41,Owner
145,1899,1,1,0,900,,44.63407,-63.57643,"Inglis St, Halifax, B3H 1K4",1.0,0,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,88,63,70,Owner
146,1829,1,1,0,673,www.metcap.com,44.68524,-63.58192,"65 Primrose Street, Dartmouth, NS, B3A 4C5",1.0,1,1,0,0,0,0,1,1,1,0,0,0,Dartmouth,Burnside,False,False,True,60,50,41,Metcap
147,1699,0,1,0,538,www.metcap.com,44.68524,-63.58192,"65 Primrose Street, Dartmouth, NS, B3A 4C5",1.0,1,1,0,0,0,0,1,1,1,0,0,1,Dartmouth,Burnside,False,False,True,60,50,41,Metcap
148,1829,1,1,0,739,www.metcap.com,44.68821,-63.58332,"3 Farthington Place, Dartmouth, NS, B3A 2K3",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Dartmouth,Burnside,False,False,True,61,49,33,Metcap
149,2481,2,1,0,981,www.metcap.com,44.65635,-63.65017,"200 Willet Street, Halifax, NS, B3M 3C5",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,True,70,51,41,Metcap
150,2008,1,1,0,747,www.metcap.com,44.65635,-63.65017,"200 Willet Street, Halifax, NS, B3M 3C5",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,True,70,51,41,Metcap
151,2499,2,2,0,1154,www.metcap.com,44.69917,-63.66665,"22 BEDROS LANE, Bedford, NS, B3M 4W9",2.0,0,0,0,0,0,0,1,0,1,0,0,0,Bedford,Bedford Basin,False,False,True,56,38,25,Metcap
152,1799,1,1,0,675,www.metcap.com,44.68823,-63.58749,"35 Highfield Park Drive, Dartmouth, NS, B3A 4V4",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Dartmouth,Burnside,False,False,True,61,49,42,Metcap
153,2238,1,1,0,650,www.metcap.com,44.70004,-63.66558,"40 Bedros Lane, Bedford, NS, B3M 4X1",2.0,0,0,0,1,0,0,1,0,1,0,0,0,Bedford,Bedford Basin,False,False,True,43,38,26,Metcap
154,2579,2,2,0,1161,www.metcap.com,44.70004,-63.66558,"40 Bedros Lane, Bedford, NS, B3M 4X1",2.0,0,0,0,1,0,0,1,0,1,0,0,0,Bedford,Bedford Basin,False,False,True,43,38,26,Metcap
155,2075,1,1,0,729,,44.65328,-63.58564,"Cunard Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,1,0,Halifax Peninsula,Downtown,False,True,False,97,70,95,Owner
156,2275,2,2,1,1300,,44.64851,-63.65652,"35 Bently Drive, Halifax, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,41,42,39,Owner
157,2250,2,1,1,680,,44.66177,-63.63011,"Main Ave, Halifax, NS B3M 1A2",0.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,WestEnd,False,False,False,81,53,41,Owner
158,1595,1,1,1,600,,44.65845,-63.64199,"Fiske Street, Halifax, NS",0.0,1,1,0,0,0,0,1,0,1,0,0,0,Mainland Halifax,Clayton Park,False,False,True,82,54,45,Not Given
159,2075,1,1,0,510,,44.66003,-63.59633,"Bilby Street, Halifax, NS",175.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,97,67,80,Owner
160,1960,1,1,0,827,www.skylineliving.ca,44.70899,-63.69813,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
161,2340,1,1,0,1005,www.skylineliving.ca,44.70899,-63.69813,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
162,2810,2,2,0,1505,www.skylineliving.ca,44.70899,-63.69813,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
163,1248,1,1,0,827,www.skylineliving.ca,44.70899,-63.69813,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
164,2110,2,2,0,945,www.skylineliving.ca,44.65388,-63.625,"3330 Barnstead Lane, Halifax, NS, B3L 0B1",1.0,1,1,0,0,0,0,0,1,0,0,0,0,Halifax Peninsula,WestEnd,False,False,True,83,62,73,Skylineliving
165,2385,2,2,0,1284,www.skylineliving.ca,44.6548,-63.53322,"79 Holtwood Court, Dartmouth, NS, B2W 0M9",1.0,1,0,0,0,0,0,0,1,0,0,0,0,Dartmouth,Wooside,False,True,True,41,29,55,Skylineliving
166,2245,2,2,0,1210,www.skylineliving.ca,44.65375,-63.53456,"80 Holtwood Court, Dartmouth, NS, B2W 1G1",1.0,1,0,0,0,0,0,0,1,0,0,0,0,Dartmouth,Wooside,False,True,True,36,33,54,Skylineliving
167,1600,2,1,1,999,,44.62643,-63.57502,"Halifax, NS B3H 2X3",0.0,1,1,1,0,1,1,0,1,1,1,0,0,Halifax Peninsula,SouthEnd,True,True,False,59,45,63,Owner
168,2495,2,2,0,1400,,44.72362,-63.74914,"Appaloosa Run, Hammonds Plains, NS",1.0,1,1,0,1,0,1,0,1,1,0,1,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
169,1845,2,1,1,1100,,44.78071,-63.68057,"Kipling Drive, Lower Sackville, NS",0.0,0,1,0,0,1,1,0,1,1,0,0,0,Sackville,Lower Sackville,False,False,False,50,36,27,Owner
170,1863,1,1,0,531,,44.657,-63.59605,"2710 Agricola St, Halifax, NS B3K 0J7",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,97,67,83,Owner
171,1995,1,1,0,531,,44.657,-63.59605,"2710 Agricola St, Halifax, NS B3K 0J7",,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,97,67,83,Owner
172,2195,1,1,0,530,vertusuites.com,44.64361,-63.57736,"1530 Birmingham Street, Halifax, NS, B3J 0B5",180.0,1,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,10,72,75,Vertusuites
173,2100,2,1,1,1200,,44.64475,-63.53904,"Dartmouth, NS B2W 1B1",0.0,0,1,0,1,1,1,0,1,1,0,0,0,Dartmouth,Wooside,False,False,False,30,38,31,Owner
174,1995,1,1,1,583,templetonproperties.rhenti.com,44.63874,-63.59693,"1585 Oxford Street, Halifax, NS, B3H 3Z3",0.0,0,1,0,0,0,0,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,84,62,69,Templetonproperties
175,1850,1,1,1,475,templetonproperties.rhenti.com,44.6384,-63.59656,"1545 Oxford Street, Halifax, NS, B3H 3Z3",0.0,0,1,0,0,0,0,0,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,84,62,69,Templetonproperties
176,2900,2,2,1,1050,templetonproperties.rhenti.com,44.63813,-63.57591,"5633 Fenwick Street, Halifax, NS, B3H 4M2",0.0,0,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,True,True,97,66,66,Templetonproperties
177,1995,0,1,1,500,templetonproperties.rhenti.com,44.63813,-63.57591,"5633 Fenwick Street, Halifax, NS, B3H 4M2",0.0,0,1,0,1,0,1,0,1,1,0,0,1,Halifax Peninsula,SouthEnd,False,True,True,97,66,66,Templetonproperties
178,2600,2,1,1,800,templetonproperties.rhenti.com,44.63813,-63.57591,"5633 Fenwick Street, Halifax, NS, B3H 4M2",0.0,0,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,True,True,97,66,66,Templetonproperties
179,2450,1,1,1,800,templetonproperties.rhenti.com,44.63813,-63.57591,"5633 Fenwick Street, Halifax, NS, B3H 4M2",0.0,0,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,True,True,97,66,66,Templetonproperties
180,3070,3,1,0,1053,www.capreit.ca,44.6559,-63.58508,"2334 Longard Plaza, Halifax, NS, B3K 5K6",-1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,95,71,76,Capreit
181,2500,3,1,1,1900,,44.62976,-63.62663,"Withrod Drive, Halifax, NS",0.0,0,0,0,1,1,1,0,1,1,1,0,0,Mainland Halifax,Armdale,False,True,True,41,44,33,Not Given
182,2095,1,1,0,1250,www.templetonproperties.ca,44.65147,-63.65379,"333 Main Avenue, Halifax, NS, B3S 0B6",-2.0,1,1,0,1,0,1,0,1,1,0,1,0,Mainland Halifax,Clayton Park,False,False,True,44,43,31,Templetonproperties
183,1595,1,1,0,520,www.444rent.com,44.64264,-63.57147,"1343 Barrington Street, Halifax, NS, B3J 1Y9",-1.0,1,1,0,0,0,0,1,0,0,0,0,0,Halifax Peninsula,Downtown,False,False,True,98,72,65,444rent
184,3250,2,2,1,1400,,44.64392,-63.56946,"Lower Water Street, Halifax, NS",0.0,1,1,0,1,0,1,0,0,0,0,0,0,Halifax Peninsula,Downtown,False,False,True,97,72,61,Not Given
